election_id,election_date,election_year,redistricting_cycle,office,district,district_display,city_town,ward,precinct,dem_margin,dem_margin_two_party,PVI_N,incumbent_status,incumbent_tenure_years,incumbent_tenure_left_censored,pres_elec,is_special,num_candidates,no_dem_candidate,candidate_count,dem_candidate_count,dem_candidate,opponent_candidate,opponent_party,dem_votes,opponent_votes,gop_votes,write_in_votes,top_write_in_votes,candidate_votes,total_votes,major_party_race,contested_on_ballot_lines,admitted_by_write_in,num_candidates_admitted,write_in_share,top_write_in_share,pvi_year,pvi_provenance,precinct_split_across_districts
105533,2010-11-02,2010,2001,State Representative,Third Hampshire,3rd Hampshire,Amherst,-,10A,,,,Dem_Incumbent,18.628719275549805,False,False,False,3,False,3,1,Ellen S. Story,Daniel M. Sandell,Republican,0,0,0.0,0,0,0,0,True,True,False,3,0.0,0.0,2008,missing,False
105533,2010-11-02,2010,2001,State Representative,Third Hampshire,3rd Hampshire,Amherst,-,3A,,,,Dem_Incumbent,18.628719275549805,False,False,False,3,False,3,1,Ellen S. Story,Daniel M. Sandell,Republican,0,0,0.0,0,0,0,0,True,True,False,3,0.0,0.0,2008,missing,False
105533,2010-11-02,2010,2001,State Representative,Third Hampshire,3rd Hampshire,Amherst,-,4A,,,,Dem_Incumbent,18.628719275549805,False,False,False,3,False,3,1,Ellen S. Story,Daniel M. Sandell,Republican,0,0,0.0,0,0,0,0,True,True,False,3,0.0,0.0,2008,missing,False
105533,2010-11-02,2010,2001,State Representative,Third Hampshire,3rd Hampshire,Amherst,-,9A,,,,Dem_Incumbent,18.628719275549805,False,False,False,3,False,3,1,Ellen S. Story,Daniel M. Sandell,Republican,0,0,0.0,0,0,0,0,True,True,False,3,0.0,0.0,2008,missing,False
105657,2010-11-02,2010,2001,State Representative,Third Plymouth,3rd Plymouth,Hingham,-,6A,21.02272727272727,21.93056731583404,,Dem_Incumbent,9.985146854487088,False,False,False,3,False,3,1,Garrett J. Bradley,Timothy F. Finnerty,Republican,720,461,461.0,0,0,1232,1323,True,True,False,3,0.0,0.0,2008,,False
105658,2010-11-02,2010,2001,State Senate,Plymouth and Norfolk,Plymouth and Norfolk,Hingham,-,6A,-37.81223083548665,,,GOP_Incumbent,15.983901106798909,False,False,False,2,True,2,0,"Paul R. Kearney, Jr.","Robert L. Hedlund, Jr.",Republican,361,800,800.0,0,0,1161,1323,False,True,False,2,0.0,0.0,2008,,False
112937,2012-11-06,2012,2011,State Representative,Eleventh Middlesex,11th Middlesex,Newton,2,4,57.33512786002692,57.335127860026915,,Dem_Incumbent,17.99626275693546,False,True,False,2,False,2,1,Kay S. Khan,Greer Tan Swiston,Republican,1169,317,317.0,0,0,1486,1655,True,True,False,2,0.0,0.0,2008,,False
112801,2012-11-06,2012,2011,State Representative,Twelfth Bristol,12th Bristol,Berkley,-,2,-12.191684284707538,-12.191684284707542,,GOP_Incumbent,1.1307555938862537,False,True,False,2,False,2,1,"Roger P. Brunelle, Jr.",Keiko M. Orrall,Republican,623,796,796.0,0,0,1419,1556,True,True,False,2,0.0,0.0,2008,,False
112745,2012-11-06,2012,2011,State Representative,Eighteenth Essex,18th Essex,Andover,-,7A,5.8568329718004355,5.856832971800434,,GOP_Incumbent,2.0123616501365533,False,True,False,2,False,2,1,Barbara A. L'Italien,"James J. Lyons, Jr.",Republican,244,217,217.0,0,0,461,477,True,True,False,2,0.0,0.0,2008,,False
112745,2012-11-06,2012,2011,State Representative,Eighteenth Essex,18th Essex,Andover,-,9A,-40.0,-40.0,,GOP_Incumbent,2.0123616501365533,False,True,False,2,False,2,1,Barbara A. L'Italien,"James J. Lyons, Jr.",Republican,3,7,7.0,0,0,10,11,True,True,False,2,0.0,0.0,2008,,False
